size,avg_time_ns,median_ns,min_ns,max_ns
10,2600,2600,2400,2800
100,62950,62950,59800,66100
1000,1590300,1590300,1390900,1789700
10000,62430400,62430400,62150100,62710700
100000,595509800,595509800,595088800,595930800
