size,avg_time_ns,median_ns,min_ns,max_ns
10,1460,1500,1400,1500
100,24040,9900,9600,53700
1000,598300,591600,584900,614400
10000,59548320,59186900,59067800,60293100
50000,1498381820,1497083100,1494625800,1504262200
100000,5980513100,5978369000,5974945200,5993675600
