size,avg_time_ns,median_ns,min_ns,max_ns
10,3850,3850,3700,4000
100,173400,173400,129100,217700
1000,1581800,1581800,1479900,1683700
10000,77338450,77338450,76697900,77979000
100000,710281000,710281000,708075700,712486300
