size,avg_time_ns,median_ns,min_ns,max_ns
10,214,204,202,247
100,160,147,141,198
1000,212,209,192,234
10000,300,295,272,361
100000,1233,1056,796,1892
1000000,2239,1948,1600,3566
10000000,3245,3189,2990,3763
100000000,6293,5888,5419,8794
