size,avg_time_ns,median_ns,min_ns,max_ns
10,300,200,200,500
100,200,200,200,200
1000,200,200,200,200
10000,366,300,300,500
100000,833,500,400,1600
1000000,3633,2500,2300,6100
10000000,5000,4800,3500,6700
100000000,6967,6900,6700,7301
