size,avg_time_ns,median_ns,min_ns,max_ns
10,1000,1000,1000,1000
100,11420,10300,8700,17600
1000,46860,46300,43900,51200
10000,451220,444000,441600,481200
100000,1117180,1095500,1087100,1198100
1000000,11186360,11187500,11025700,11316800
