size,avg_time_ns,median_ns,min_ns,max_ns
10,269,252,249,343
100,1811,1825,1703,1907
1000,11840,11942,11496,12111
10000,118019,117046,115818,122790
100000,181828,173127,164932,230126
1000000,2051337,1977491,1886541,2436469
10000000,19488894,19751614,17051422,21280993
100000000,178820816,178356438,173504552,187072557
