size,avg_time_ns,median_ns,min_ns,max_ns
10,800,800,700,900
100,7750,7750,5800,9700
1000,38500,38500,37600,39400
10000,307050,307050,258700,355400
100000,220400,220400,218900,221900
1000000,2438550,2438550,2288500,2588600
