size,avg_time_ns,median_ns,min_ns,max_ns
10,119,114,113,142
100,117,117,110,126
1000,201,198,190,218
10000,412,377,367,544
100000,2438,702,471,6061
1000000,6452,6647,5561,7289
10000000,6153,6052,5594,6797
100000000,7385,7032,6073,9061
