size,avg_time_ns,median_ns,min_ns,max_ns
10,1000,1000,900,1100
100,19550,19550,14100,25000
1000,721850,721850,715900,727800
10000,32904100,32904100,32885200,32923000
100000,314701000,314701000,311937300,317464700
