size,avg_time_ns,median_ns,min_ns,max_ns
10,300,300,300,300
100,2183,2200,2100,2200
1000,21000,21050,20700,21200
10000,221783,218450,218200,238700
100000,182450,173600,125600,257500
1000000,1030633,950100,908900,1415000
10000000,11003616,11096350,10574200,11336300
100000000,169715100,168345050,166839500,174307600
