size,avg_time_ns,median_ns,min_ns,max_ns
10,100,100,100,100
100,200,200,200,200
1000,1300,1300,1300,1300
10000,14133,12650,12300,19400
100000,161600,163150,148800,170800
1000000,2264200,2018000,1890300,3658900
10000000,53684650,53215750,47154500,61857100
100000000,411972600,411829100,410592300,414194200
