size,avg_time_ns,median_ns,min_ns,max_ns
10,11400,5329,3350,25263
100,54386,52539,47078,68157
1000,1352694,1354065,1305654,1414068
10000,82009268,81316295,77874073,90771209
50000,322676773,321800369,321352787,324811807
