size,avg_time_ns,median_ns,min_ns,max_ns
10,240,200,200,300
100,1020,800,300,2800
1000,280,300,200,400
10000,740,600,400,1600
100000,3320,4200,800,5300
1000000,2660,2700,1400,3800
10000000,5020,4900,3600,7800
100000000,6540,6900,5100,8700
