size,avg_time_ns,median_ns,min_ns,max_ns
10,287,276,235,378
100,836,842,763,901
1000,7027,7262,6483,7442
10000,37199,37050,36952,37505
100000,167296,174032,132601,179219
1000000,1694348,1705071,1653150,1723853
10000000,18910816,18710394,18456205,20018679
100000000,187466443,187069210,165809346,221636596
