size,avg_time_ns,median_ns,min_ns,max_ns
10,239,232,218,274
100,340,250,216,758
1000,212,161,148,370
10000,246,236,205,320
100000,635,469,282,1517
1000000,1012,1114,716,1303
10000000,2501,1746,1552,5406
100000000,3369,3384,2849,4128
