size,avg_time_ns,median_ns,min_ns,max_ns
10,150,155,116,200
100,126,123,118,144
1000,161,164,155,166
10000,272,260,238,331
100000,281,285,267,291
1000000,1023,576,493,2861
10000000,2606,2305,2058,3335
100000000,2558,2540,2426,2678
