size,avg_time_ns,median_ns,min_ns,max_ns
10,2100,2100,2000,2200
100,70350,70350,28600,112100
1000,1055800,1055800,687100,1424500
10000,32151350,32151350,31799900,32502800
100000,318516900,318516900,317323800,319710000
