size,avg_time_ns,median_ns,min_ns,max_ns
10,309,304,294,341
100,921,875,829,1159
1000,6461,6488,6318,6579
10000,49958,60303,23475,68618
100000,341784,336023,320610,378239
1000000,3442965,3441580,3323636,3592486
10000000,38145661,38707343,35040409,40705052
100000000,331770947,329706233,324521639,340732763
