size,avg_time_ns,median_ns,min_ns,max_ns
10,232,229,222,247
100,612,425,358,1291
1000,367,370,240,445
10000,458,445,366,572
100000,1208,850,732,2282
1000000,2114,2242,1726,2389
10000000,3194,2959,2431,3856
100000000,5144,5048,4402,6073
