size,avg_time_ns,median_ns,min_ns,max_ns
10,116,100,100,200
100,250,250,200,300
1000,1783,1800,1700,1800
10000,17250,17100,16700,18000
100000,171300,187650,131100,194500
1000000,2084683,2080400,1911700,2271400
10000000,48580783,46916100,46215900,57332400
100000000,227528266,221192100,210796700,269107200
