size,avg_time_ns,median_ns,min_ns,max_ns
10,2800,2835,2573,2883
100,38238,38758,36629,39255
1000,2308377,2277416,2267262,2395330
10000,135609758,135349124,134567994,137261702
50000,574524429,574301887,573063339,576668590
