size,avg_time_ns,median_ns,min_ns,max_ns
10,133,100,100,201
100,166,199,100,200
1000,66,0,0,199
10000,100,100,99,101
100000,133,100,100,201
1000000,1200,1200,200,2200
10000000,1567,1501,1200,2000
100000000,1600,1701,1300,1801
