size,avg_time_ns,median_ns,min_ns,max_ns
10,266,200,100,500
100,133,100,100,200
1000,200,200,200,200
10000,466,500,400,500
100000,500,400,400,700
1000000,4266,3900,2000,6900
10000000,6466,4300,3700,11400
100000000,7033,7100,6800,7200
