size,avg_time_ns,median_ns,min_ns,max_ns
10,366,300,100,700
100,133,100,100,200
1000,200,200,100,300
10000,300,300,200,400
100000,1866,1700,800,3100
1000000,5833,4000,700,12800
10000000,14100,13500,11400,17400
100000000,11233,8700,7600,17400
