size,avg_time_ns,median_ns,min_ns,max_ns
10,216,200,200,300
100,3033,200,100,17300
1000,216,200,200,300
10000,133,100,100,200
100000,1633,200,100,9000
1000000,133,100,100,200
10000000,133,100,100,200
100000000,116,100,100,200
