size,avg_time_ns,median_ns,min_ns,max_ns
10,663,662,655,673
100,8771,6990,6547,11801
1000,21522,26964,10962,30069
10000,114066,105021,104456,149609
100000,568276,561116,557696,600223
1000000,20939198,6201185,5878234,80235109
