size,avg_time_ns,median_ns,min_ns,max_ns
10,447,416,399,552
100,2166,2165,2073,2242
1000,20319,20664,19612,20775
10000,202791,200022,199362,214598
100000,252579,247163,208059,317135
1000000,2634466,2577378,2301915,3006376
10000000,34384475,33635201,27014151,40289542
100000000,337756549,315476649,293069095,435381557
