size,avg_time_ns,median_ns,min_ns,max_ns
10,5120,2700,2600,14700
100,41140,39600,36200,46000
1000,954620,944400,936700,982200
10000,48328640,48608500,47008000,49455000
50000,208914180,208453800,207967700,210385800
