size,avg_time_ns,median_ns,min_ns,max_ns
10,1096,1077,1045,1159
100,523,291,274,1394
1000,264,248,221,337
10000,629,775,299,902
100000,1512,1733,462,2409
1000000,2383,2042,1559,4359
10000000,2308,1945,1547,4113
100000000,10382,4296,2175,37461
