size,avg_time_ns,median_ns,min_ns,max_ns
10,3100,3069,2943,3354
100,21935,21899,19412,25015
1000,145721,110816,102720,296517
10000,416499,410037,405552,433586
100000,1303317,1303843,1162940,1460593
1000000,22060826,20779528,20257592,27152277
