size,avg_time_ns,median_ns,min_ns,max_ns
10,4550,4550,2400,6700
100,20100,20100,12700,27500
1000,65750,65750,64300,67200
10000,319600,319600,192000,447200
100000,1454150,1454150,1430000,1478300
1000000,12686800,12686800,12612500,12761100
