size,avg_time_ns,median_ns,min_ns,max_ns
10,4560,3200,3000,10500
100,13280,12100,12000,21300
1000,121970,117900,111300,151100
10000,305370,341850,190800,360400
100000,798050,796300,757200,841300
1000000,9126430,8637100,8378600,12551700
10000000,123544280,111526600,87730000,179556300
100000000,2004638460,1793190850,1026635900,3794042600
