size,avg_time_ns,median_ns,min_ns,max_ns
10,86,78,76,111
100,89,97,69,104
1000,75,76,71,80
10000,23,23,22,25
100000,26,27,22,28
1000000,23,22,22,30
10000000,23,23,23,24
100000000,20,20,20,20
