size,avg_time_ns,median_ns,min_ns,max_ns
10,500,500,400,600
100,110,100,100,200
1000,70,100,0,100
10000,200,200,100,300
100000,760,200,200,5400
1000000,1500,1300,900,2600
10000000,3770,3100,2500,5400
100000000,5840,5750,5200,6800
