size,avg_time_ns,median_ns,min_ns,max_ns
10,154,152,151,161
100,154,152,145,170
1000,165,166,161,168
10000,272,260,254,298
100000,404,375,367,508
1000000,1402,1363,1177,1776
10000000,3053,2937,2588,3720
100000000,3103,3250,2636,3558
