size,avg_time_ns,median_ns,min_ns,max_ns
10,1053,890,880,1713
100,15862,13886,12177,26103
1000,72436,72952,46988,96904
10000,313770,417782,127105,449938
100000,882260,893668,855746,901872
1000000,10203786,10169820,9981193,10463036
10000000,111792851,105596990,100640987,132471580
100000000,1053925353,1037135162,1021347875,1091231292
